s.no,name,district,address,contact,needs,latitude,longitude
1,ALL THE CHILDREN,chennai,"No:02, Easwaran St, Karapakkam",+91 99622 99919,Child welfare,12.9137,80.2291
2,INDIAN COUNCIL FOR CHILD WELFARE,chennai,Shenoy Nagar,+91 44262 60097,Child protection & welfare,13.0878,80.2255
3,SHINE WOMEN AND CHILD WELFARE TRUST,chennai,"Ambattur, Avadi",+91 96001 71897,Women & child support,13.1143,80.1548
4,HOPE PUBLIC CHARITABLE TRUST,chennai,Aminjikarai,+91 98413 30330,Shelter for special needs children,13.0725,80.2249
5,"CHILD,CHILDREN HOME",chennai,Kolathur,+91 99416 43056,Orphanage,13.1246,80.2148
6,ANNAI ANBALAYAA TRUST,chennai,Royapettah,+91 99418 40841,Child & orphan care,13.0523,80.2642
7,ARUNODHAYA CENTER FOR STREET AND WORKING CHILDREN,chennai,Royapuram,+91 44426 32264,Street children support,13.1131,80.2926
8,HELP A CHILD OF INDIA,chennai,Anna Nagar,+91 44426 45218,Child help & development,13.0878,80.2102
9,CARE AND WELFARE FOUNDATION ,chennai,Maduravoyal,+91 70940 33399,Welfare support,13.0653,80.1623
10,SOS CHILDRENS VILLAGE OF INDIA,chennai,Tambaram East,+91 44223 95061,Child welfare & village programs,12.9249,80.1275
11,KARUNALAYA CHILDREN HOME,vellore,"Senur, Jaffrapet",+91 94430 35140,Orphanage / Child shelter,12.8966,79.1361
12,THE HOPE HOUSE,vellore,"Shanthinagar, Katpadi",+91 96294 71920,Child care agency,12.9986,79.1976
13,PASTOR S.A GEORGE CHILDREN'S HOME,vellore,"Brahmapuram, Katpadi",NOT AVAILABLE,Children’s home,12.9814,79.1452
14,SHALOM FOUNDATION,vellore,Gandhi Nagar,+91 41622 48156,Children’s home,12.9561,79.1425
15,VIVEKANANDAR TRUST,vellore,Sathuvachari,+91 93440 02691,Orphanage,12.9304,79.1681
16,PANIMALAR SOCIAL AND PUBLIC CHARITABLE TRUST,vellore,Gandhi Nagar,+91 94433 09147,Community & welfare,12.9568,79.1454
17,MARY FOUNDATION CHARITABLE TRUST,vellore,Edayansathu,NOT AVAILABLE,Orphanage,12.8733,79.1310
18,INDIAN COUNCIL FOR CHILD WELFARE,vellore,Gandhi Nagar,0416-2242308,Child welfare,12.9568,79.1454
19,BLESSING YOUTH MISSION ,velloreE,Ida Scudder Rd,0416-2242943,Youth & child engagement,12.9752,79.1401
20,RURAL INTEGRATED COMMUNITY HEALTH & EDUCATIONAL DEV SOCIETY,vellore,Gandhi Nagar,0416-2242658,Child education & health,12.9571,79.1450
21,ST JUDE INDIA CHILDCARE CENTRES,vellore,"31, Nathanial Building, Old PF Officer, Filter Bed Rd, Srinivasan Nagar, Vellore, Tamil Nadu 632001",NOT AVAILABLE,Childcare & shelter support,12.9163,79.1347
22,DHAN FOUNDATION,madurai,"1A, Vaidyanathapuram East, Kennet Cross Rd, Vaithiyanathapuram, Madurai, TN 625016",+91 45223 02500,"Rural development, livelihood support",9.9189,78.1067
23,JOY CHILDRENS HOME,madurai,"Keelakuilkudi Rd, Nagamalaipudukottai",+91 97903 95902,Children’s home & care,9.8802,78.0705
24,SAKTHI-VIDIYAL,madurai,"Palanganatham, Madurai",+91 452 2675632,Street & vulnerable children support,9.8917,78.0984
25,SEVALAYAM ASHRAM,madurai,"Shenoy Nagar, Madurai",+91 9489002324,Orphanage & child shelter,9.9244,78.1338
26,ANNAI TERESA IIIAM,madurai,"Vilangudi, Madurai",+91 452 2669664,Orphan & destitute children care,9.9461,78.0961
27,MAHELERECEN CHILD SUPPORT PROGRAMS,madurai,"Melaponnagaram, Madurai",+91 8754210273,Child health & support,9.9341,78.1032
28,MADURAI SEED,madurai,"Rajakoor, Madurai",+91 9442537670,Child & community development,9.9311,78.1416
29,MUNAWWARAH GIRLS ORPHANAGE TRUST,madurai,"Alagar Kovil Main Rd, Moondrumavadi",+91 97156 04495,Girls orphanage & care,9.9584,78.1642
30,YWCA KIRUBAI IIIAM,madurai,"Swami Vivekananda Nagar, Moondrumavadi",NOT AVAILABLE,Orphanage & child shelter,9.9552,78.1698
31,AI-AMEEN ETHEEM KHANA,madurai,"K.Pudur, Madurai",+91 45223 25606,Orphanage & shelter support,9.9383,78.1486
32,COIMBATORE MULTIPURPOSE SOCIAL SERVICE SOCIETY,coimbatore,"Bishop’s House, Coimbatore – 641001",+91 422 2391831,Social welfare & services,11.0104,76.9620
33,RURAL EDUCATION SERVICE TRUST,coimbatore,"Kothari Nagar, Singanallur, Coimbatore – 641005",+91 422 2273006,Child education & support,11.0122,76.9937
34,NERD SOCIETY,coimbatore,"Siddhi Vinayagar Colony, Vadavalli",+91 422 2422689,Community development,11.0420,76.9306
35,GOOD SHEPHERD HEALTH & EDUCATION CENTRE,coimbatore,"Karamadai, Coimbatore – 641104",+91 4254 272029,Health & education services,11.2345,76.8802
36,AISHWARIAM SOCIAL WELFARE ORG,coimbatore,"Manis Nagar, Thudiyalur, Coimbatore – 641034",+91 422 2645101,"Empowerment, health & education",11.0542,77.0001
37,COMMUNITY ORG FOR OPPRESSED UPLIFTMENT,coimbatore,"Ramanathapuram, Coimbatore – 641045",+91 422 2316178,Social upliftment,11.0005,76.9810
38,JACOBS CARE CENTRE,coimbatore,"Chettypalayam, Near Lotus Temple – 641201",NOT AVAILABLE,Senior/child aid & welfare,10.9784,76.9318
39,GOODWILL SOCIAL DEVELOPMENT ORG,coimbatore,Tiruppur area (Coimbatore region),NOT AVAILABLE,Community service,10.9990,77.0000
40,HELPING HEARTS(CLOTHING AID),coimbatore,"Ramanathapuram Rd, TNAU",+91 63747 13775,Free clothing aid to needy,11.0125,76.9610
41,"U&L/MAKE A DIFFERENCE(VOLUNTEERLED,CHILD SUPPORT)",coimbatore,"Multiple centres (Ondipudur, Pothanur etc.)",NOT AVAILABLE,Child education & life skills support,11.0000,76.9600
42,TAMILNADU NGOs PROTECT & WELFARE COMMITTE,tiruchirappalli,"Panchavarneswarar Kovil St, Woraiyur, Trichy",+91 96884 08090,Community development & children welfare,10.8015,78.6950
43,TAMIL NADU DEPRESSED WOMEN WELFARE SOCIETY,tiruchirappalli,"15/1, Mullai Vasal St, D Nagar, Thiruvermbur, Trichy",+91 94436 45284,"Women & child rights, community welfare",10.8072,78.6866
44,KAVI CHARITABLE TRUST,tiruchirappalli,"No.48, Convent Rd, Cantonment, Trichy",+91 94436 45065,Children education & community support,10.7907,78.6958
45,DON BOSCO SOCIETY(PROVINCIAL HOUSE),tiruchirappalli,"65, Illuppur Rd, Kallukuzhi, Trichy",NOT AVAILABLE,Child support & community services,10.8118,78.7103
46,DON BOSCO BOYS HOME SOCIETY,tiruchirappalli,"Opp. Agricultural College, N Kuttapattu, Trichy",NOT AVAILABLE,Child home & care,10.8050,78.6820
47,VIVEKANANDA SOCIAL SERVICE ORGANISATION,tiruchirappalli,"78, Thiruvalluvar St, Trichy",+91 99656 42013,Youth & community welfare,10.7950,78.6850
48,SCOPE(SOCIETY FOR COMMUNITY ORGANISATION & PEOPLE'S EDUCATION),tiruchirappalli,"Ramalinga Nagar West Extn, Woraiyur, Trichy",+91 94431 67190,Rural dev & child/health awareness,10.8018,78.6950
49,SOCIETY FOR HUMAN EDUCATION & DEVELOPMENT ,tiruchirappalli,"Town Hall area, Trichy",NOT AVAILABLE,Education & social services,10.7905,78.6882
50,CHILDREN ORIENTED PROGRESSIVE EDUCATION TRUST,tiruchirappalli,"Muthukulam, N Kuttapatti Post, Trichy",NOT AVAILABLE,Child education & support,10.8000,78.6900
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
